date,open,high,low,close
2024-09-02 00:00:00,0.85072,0.851,0.84992,0.85005
2024-09-02 01:00:00,0.85006,0.85042,0.84975,0.85004
2024-09-02 02:00:00,0.85005,0.8504,0.84962,0.84975
2024-09-02 03:00:00,0.84975,0.84982,0.84924,0.84978
2024-09-02 04:00:00,0.84978,0.85007,0.8497,0.84989
2024-09-02 05:00:00,0.84988,0.8505,0.84928,0.84938
2024-09-02 06:00:00,0.84937,0.84968,0.8489,0.84922
2024-09-02 07:00:00,0.8492,0.84967,0.84851,0.84926
2024-09-02 08:00:00,0.84927,0.85001,0.84886,0.8499
2024-09-02 09:00:00,0.84989,0.85009,0.84946,0.84976
2024-09-02 10:00:00,0.84977,0.85073,0.8497,0.85038
2024-09-02 11:00:00,0.85041,0.85156,0.85028,0.85124
2024-09-02 12:00:00,0.85124,0.85142,0.8507,0.8512
2024-09-02 13:00:00,0.8512,0.85302,0.8511,0.85218
2024-09-02 14:00:00,0.85219,0.85375,0.85087,0.85101
2024-09-02 15:00:00,0.85102,0.85194,0.85092,0.85159
2024-09-02 16:00:00,0.8516,0.85187,0.85146,0.85147
2024-09-02 17:00:00,0.85148,0.85164,0.85129,0.85156
2024-09-02 18:00:00,0.85158,0.85159,0.8514,0.8514
2024-09-02 19:00:00,0.85144,0.85151,0.85136,0.85151
2024-09-02 20:00:00,0.85151,0.85174,0.85142,0.8517
2024-09-02 21:00:00,0.85207,0.85242,0.85113,0.85165
2024-09-02 22:00:00,0.85165,0.85184,0.85144,0.8518
2024-09-02 23:00:00,0.85178,0.85187,0.85139,0.85144
2024-09-03 00:00:00,0.85146,0.8527,0.85142,0.85254
2024-09-03 01:00:00,0.85254,0.85271,0.85184,0.85202
2024-09-03 02:00:00,0.85202,0.8529,0.8519,0.85274
2024-09-03 03:00:00,0.85275,0.85294,0.8524,0.85248
2024-09-03 04:00:00,0.85248,0.85291,0.85238,0.85276
2024-09-03 05:00:00,0.85276,0.85283,0.85215,0.85228
2024-09-03 06:00:00,0.85228,0.85326,0.85112,0.85194
2024-09-03 07:00:00,0.85192,0.85378,0.85166,0.85331
2024-09-03 08:00:00,0.85332,0.85334,0.85222,0.8526
2024-09-03 09:00:00,0.85258,0.85342,0.85167,0.85226
2024-09-03 10:00:00,0.85227,0.85248,0.85186,0.85186
2024-09-03 11:00:00,0.85187,0.85238,0.8515,0.8522
2024-09-03 12:00:00,0.85221,0.85277,0.85072,0.85087
2024-09-03 13:00:00,0.85086,0.85086,0.84836,0.84836
2024-09-03 14:00:00,0.84835,0.85041,0.84782,0.84988
2024-09-03 15:00:00,0.84988,0.85109,0.84978,0.8503
2024-09-03 16:00:00,0.85031,0.85076,0.84991,0.85066
2024-09-03 17:00:00,0.85066,0.85111,0.85051,0.85102
2024-09-03 18:00:00,0.85104,0.85114,0.85038,0.85044
2024-09-03 19:00:00,0.85043,0.85098,0.84994,0.85041
2024-09-03 20:00:00,0.8504,0.85092,0.85024,0.85034
2024-09-03 21:00:00,0.85011,0.8504,0.85004,0.85034
2024-09-03 22:00:00,0.85035,0.8507,0.85012,0.85022
2024-09-03 23:00:00,0.85023,0.85034,0.84958,0.84993
2024-09-04 00:00:00,0.84994,0.85007,0.8484,0.84847
2024-09-04 01:00:00,0.84846,0.84939,0.8483,0.84889
2024-09-04 02:00:00,0.84888,0.849,0.84845,0.84881
2024-09-04 03:00:00,0.84882,0.84922,0.84851,0.8487
2024-09-04 04:00:00,0.8487,0.84926,0.84844,0.84852
2024-09-04 05:00:00,0.84852,0.84852,0.84768,0.84809
2024-09-04 06:00:00,0.84806,0.84922,0.84801,0.84819
2024-09-04 07:00:00,0.8482,0.84864,0.8472,0.84774
2024-09-04 08:00:00,0.84773,0.84892,0.84766,0.8487
2024-09-04 09:00:00,0.8487,0.84965,0.84858,0.84945
2024-09-04 10:00:00,0.84945,0.85016,0.84888,0.84984
2024-09-04 11:00:00,0.84984,0.85046,0.84959,0.84995
2024-09-04 12:00:00,0.84994,0.85186,0.84992,0.85109
2024-09-04 13:00:00,0.8511,0.85124,0.85028,0.85088
2024-09-04 14:00:00,0.85089,0.85089,0.84715,0.84769
2024-09-04 15:00:00,0.84768,0.8491,0.84761,0.84824
2024-09-04 16:00:00,0.84823,0.84855,0.8476,0.84797
2024-09-04 17:00:00,0.84797,0.84817,0.84732,0.84808
2024-09-04 18:00:00,0.84808,0.8481,0.84704,0.84712
2024-09-04 19:00:00,0.84711,0.84728,0.8465,0.84683
2024-09-04 20:00:00,0.84682,0.84695,0.84632,0.84652
2024-09-04 21:00:00,0.84674,0.84743,0.8463,0.84738
2024-09-04 22:00:00,0.8474,0.8474,0.84603,0.84619
2024-09-04 23:00:00,0.84615,0.84634,0.84556,0.8461
2024-09-05 00:00:00,0.8461,0.84719,0.84608,0.84687
2024-09-05 01:00:00,0.84686,0.84704,0.84591,0.84688
2024-09-05 02:00:00,0.84688,0.84719,0.84646,0.84714
2024-09-05 03:00:00,0.84714,0.8472,0.84656,0.8468
2024-09-05 04:00:00,0.84679,0.84702,0.8464,0.84664
2024-09-05 05:00:00,0.84668,0.84671,0.84604,0.84618
2024-09-05 06:00:00,0.84617,0.8463,0.84552,0.84581
2024-09-05 07:00:00,0.84582,0.84735,0.84582,0.84652
2024-09-05 08:00:00,0.84654,0.84692,0.84598,0.84616
2024-09-05 09:00:00,0.84617,0.84666,0.84585,0.84651
2024-09-05 10:00:00,0.8465,0.8467,0.8462,0.84624
2024-09-05 11:00:00,0.84624,0.84638,0.84576,0.84627
2024-09-05 12:00:00,0.84626,0.84642,0.8434,0.84613
2024-09-05 13:00:00,0.84614,0.84674,0.84496,0.84542
2024-09-05 14:00:00,0.84544,0.84909,0.84543,0.84834
2024-09-05 15:00:00,0.84832,0.84856,0.84528,0.84534
2024-09-05 16:00:00,0.84533,0.84574,0.84502,0.84548
2024-09-05 17:00:00,0.84547,0.84558,0.84438,0.84492
2024-09-05 18:00:00,0.84492,0.84525,0.84409,0.845
2024-09-05 19:00:00,0.845,0.84502,0.84408,0.84468
2024-09-05 20:00:00,0.84468,0.84472,0.8436,0.84409
2024-09-05 21:00:00,0.84438,0.8448,0.84382,0.84449
2024-09-05 22:00:00,0.84436,0.84436,0.8439,0.84412
2024-09-05 23:00:00,0.84411,0.84425,0.8438,0.84385
